"path","name","id","kind","mimeType","size","modifiedTime","webViewLink","extension"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-9A","P-9A.rfa","1vRIcE7j9Vi_ytypxTnHbtoRLoJ2vyyDw","file","application/octet-stream","1236992","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1vRIcE7j9Vi_ytypxTnHbtoRLoJ2vyyDw/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS","P-9B","1RHvdv6CU0jWN0aa2UAKy59zVRerIZBiH","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:38.000Z","https://drive.google.com/drive/folders/1RHvdv6CU0jWN0aa2UAKy59zVRerIZBiH",
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-9B","P-9B-Vista3D.fbx","1cDcJFIgp1yn4CdgWfuWh7MXQY5Xvqvp2","file","application/octet-stream","177840","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1cDcJFIgp1yn4CdgWfuWh7MXQY5Xvqvp2/view?usp=drivesdk","fbx"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-9B","P-9B.rfa","1Gi6zLa2tAYQf1Qd_YJniXlkXKyGaBBrv","file","application/octet-stream","1236992","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1Gi6zLa2tAYQf1Qd_YJniXlkXKyGaBBrv/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES","3. REGLAMENTARIAS","1jfNCJ7_BVeRUjwhxVSW12R-foUVagkyv","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:35.961Z","https://drive.google.com/drive/folders/1jfNCJ7_BVeRUjwhxVSW12R-foUVagkyv",
"MODELO_BIM/3.00 SEÑALIZACIONES/3. REGLAMENTARIAS","R-30","1WEgdhLAUTxM_dR9MAdmY9hcExHoKixG-","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:36.574Z","https://drive.google.com/drive/folders/1WEgdhLAUTxM_dR9MAdmY9hcExHoKixG-",
"MODELO_BIM/3.00 SEÑALIZACIONES/3. REGLAMENTARIAS/R-30","R-30 KMH.rfa","1cAkhKXSijZp8GeRdjExEvnAO_RGKlI6O","file","application/octet-stream","1572864","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1cAkhKXSijZp8GeRdjExEvnAO_RGKlI6O/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/3. REGLAMENTARIAS/R-30","R-30KMH-Vista3D-{3D}.fbx","1FQ4dk0xWj2AJ6H_S7D66f7DBahE0PeDw","file","application/octet-stream","279664","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1FQ4dk0xWj2AJ6H_S7D66f7DBahE0PeDw/view?usp=drivesdk","fbx"
"MODELO_BIM/3.00 SEÑALIZACIONES","4. POSTES KILOMETRICOS","1vAvEFsxJPpmTo-LJKfAikPzZwXOtFhj4","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:35.962Z","https://drive.google.com/drive/folders/1vAvEFsxJPpmTo-LJKfAikPzZwXOtFhj4",
"MODELO_BIM/3.00 SEÑALIZACIONES/4. POSTES KILOMETRICOS","HITO KILOMETRICO-AP569-0.rfa","1bi62Ffus60ryC3MVaH4L3GcNX7iC9QRK","file","application/octet-stream","1261568","2026-04-16T22:04:06.000Z","https://drive.google.com/file/d/1bi62Ffus60ryC3MVaH4L3GcNX7iC9QRK/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/4. POSTES KILOMETRICOS","HITO KILOMETRICO-AP569-01.rfa","1hoAzEUtGJDZNPgpBc_zePPS_Y8rx2x--","file","application/octet-stream","1228800","2026-04-16T22:04:06.000Z","https://drive.google.com/file/d/1hoAzEUtGJDZNPgpBc_zePPS_Y8rx2x--/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/4. POSTES KILOMETRICOS","HITO KILOMETRICO-AP569-02.rfa","1ui8RienjID6SQilFsU78HbzUSAEbFAlA","file","application/octet-stream","1265664","2026-04-16T22:04:06.000Z","https://drive.google.com/file/d/1ui8RienjID6SQilFsU78HbzUSAEbFAlA/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/4. POSTES KILOMETRICOS","HITO KILOMETRICO-AP569-03.rfa","14BKjwN6dSvn1MDko_ak2ZALUoB3PoAzV","file","application/octet-stream","1298432","2026-04-16T22:04:06.000Z","https://drive.google.com/file/d/14BKjwN6dSvn1MDko_ak2ZALUoB3PoAzV/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/4. POSTES KILOMETRICOS","HITO KILOMETRICO-AP569-04.rfa","1S7oHS7pMQqgfcz4kpDIdDj8AIMttTSA_","file","application/octet-stream","1236992","2026-04-16T22:04:06.000Z","https://drive.google.com/file/d/1S7oHS7pMQqgfcz4kpDIdDj8AIMttTSA_/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/4. POSTES KILOMETRICOS","HITO KILOMETRICO-AP569-05.rfa","1fpxMQ1Fpl4v8wz2pQWFYaOEfAZ0wSnu4","file","application/octet-stream","1269760","2026-04-16T22:04:06.000Z","https://drive.google.com/file/d/1fpxMQ1Fpl4v8wz2pQWFYaOEfAZ0wSnu4/view?usp=drivesdk","rfa"
