"path","name","id","kind","extension","size","mimeType","webViewLink"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.Y04","1LdqgV3Z91pg4NAk_wdKRcNuCiF2YuvBL","file","Y04","8448","application/octet-stream","https://drive.google.com/file/d/1LdqgV3Z91pg4NAk_wdKRcNuCiF2YuvBL/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.Y05","1itTapgiT3rH3m0zhE2y-O0oiuSkBliEZ","file","Y05","6864","application/octet-stream","https://drive.google.com/file/d/1itTapgiT3rH3m0zhE2y-O0oiuSkBliEZ/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.Y06","1CfN7hz3APTG_KoB82Clzs6pGnQtWF_BJ","file","Y06","27596","application/octet-stream","https://drive.google.com/file/d/1CfN7hz3APTG_KoB82Clzs6pGnQtWF_BJ/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.Y_","1gZDW35SiTQMvgZcsvauenEF9myReGgJ4","file","Y_","36571","application/octet-stream","https://drive.google.com/file/d/1gZDW35SiTQMvgZcsvauenEF9myReGgJ4/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.Y_1","1tns6m9EE7vBq-BIZlfYdysCuroUX6zHv","file","Y_1","48","application/octet-stream","https://drive.google.com/file/d/1tns6m9EE7vBq-BIZlfYdysCuroUX6zHv/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA.","5.0 AMC-4.00X2.00 DISEÑO ESTRUCTURAL.","1vO3ReSkImIEVuQ1FB8cpciAGnuUNLBED","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/1vO3ReSkImIEVuQ1FB8cpciAGnuUNLBED"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./5.0 AMC-4.00X2.00 DISEÑO ESTRUCTURAL.","AMC-4.00X2.00 E=0.40.sdb","1XLX9Jd3INKXZ0pfbpPIbwjX6l-CR6Zhi","file","sdb","15287","application/octet-stream","https://drive.google.com/file/d/1XLX9Jd3INKXZ0pfbpPIbwjX6l-CR6Zhi/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA.","01. M.C. Caja Alcantarilla de MCA_2025_V2..pdf","1mVXhlgtNQyDI4QZGCLcBA2U1OS98q1H_","file","pdf","3042622","application/pdf","https://drive.google.com/file/d/1mVXhlgtNQyDI4QZGCLcBA2U1OS98q1H_/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA.","01. M.C. Caja Alcantarilla de MCA_2025_V2..xlsx","1-wyPANy-hMdQ4ARvd19VvVuuMeLdysgp","file","xlsx","2855543","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","https://docs.google.com/spreadsheets/d/1-wyPANy-hMdQ4ARvd19VvVuuMeLdysgp/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA.","02. M.C. Alas de Alcantarillas de MCA_2025..pdf","1eFcwebBK92RL-9kY5wjPgkUp4qDpnlH3","file","pdf","3512588","application/pdf","https://drive.google.com/file/d/1eFcwebBK92RL-9kY5wjPgkUp4qDpnlH3/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA.","02. M.C. Alas de Alcantarillas de MCA_2025..xlsx","1O6mY3sqkK6QbemXmamBUvlxx94c281LP","file","xlsx","1357496","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","https://docs.google.com/spreadsheets/d/1O6mY3sqkK6QbemXmamBUvlxx94c281LP/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo.","02. Muro.","1Jat8vJlfsCoueEv-0FVBIi0j3D-3Yw-I","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/1Jat8vJlfsCoueEv-0FVBIi0j3D-3Yw-I"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./02. Muro.","01. Muro 3.50 m_2025..pdf","1d2GiSAyXYL7dPSlLyllBC5ceGV-Xt2yx","file","pdf","585190","application/pdf","https://drive.google.com/file/d/1d2GiSAyXYL7dPSlLyllBC5ceGV-Xt2yx/view?usp=drivesdk"
